listing_ID,town,est_rental_revenue_median,estimated_ADR,Est_adj_occupancy,active_days,booking_window,length_of_stay,dynamic_pricing,min_stay,management,Bedrooms,bathrooms,max_guests,listed_price,is_active,economic_Category,blocked_days,rating,Num_Reviews,beachfront,hot_tub,EV_charger,kitchen,pool,pets_allowed,smoking_allowed
1205963819672225857,Southend-on-sea,0,N/A,0,151,N/A,N/A,None,5,Individual,3,1,7,96,No,N/A,1,0,0,No,No,No,Yes,No,No,No
870111683833490126,Southend-on-sea,0,N/A,0,138,N/A,N/A,None,14,Individual,3,2.5,6,240,No,N/A,56,0,0,No,No,No,Yes,No,No,No
46934205,Southend-on-sea,0,N/A,0,101,N/A,N/A,None,1,Large,3,2,6,187,Yes,N/A,171,4.71,7,No,No,No,Yes,No,No,No
987440215251843897,Southend-on-sea,0,N/A,0,187,N/A,N/A,None,3,Small,3,2,6,431,Yes,N/A,179,4.55,0,No,No,No,Yes,No,No,No
1011456380483308029,Southend-on-sea,0,N/A,0,78,N/A,N/A,High,1,Small,3,2,6,228,No,N/A,63,N/A,0,No,No,No,Yes,No,No,No
1328503056084676101,Southend-on-sea,0,N/A,0,49,N/A,N/A,None,1,Small,3,1,7,185,No,N/A,0,N/A,0,No,No,No,Yes,No,No,No
21655790,Southend-on-sea,0,N/A,0,11,N/A,N/A,None,1,Large,3,1,4,72,No,N/A,151,4.53,116,No,No,No,Yes,No,No,No
42274650,Southend-on-sea,0,N/A,0,118,N/A,N/A,None,1,Individual,3,1,6,76,No,N/A,0,4.79,62,No,No,No,Yes,No,Yes,No
1025488315145820268,Southend-on-sea,0,N/A,0,357,N/A,N/A,None,3,Small,3,1.5,8,96,Yes,N/A,9,0,0,No,No,No,Yes,No,No,No
1234606574109875944,Southend-on-sea,0,N/A,0,102,N/A,N/A,None,1,Large,3,1,8,198,No,N/A,80,N/A,0,No,No,No,Yes,No,No,No
867428043609660988,Southend-on-sea,0,N/A,0,180,N/A,N/A,None,7,Small,3,1,6,175,Yes,N/A,186,0,0,No,No,No,Yes,No,Yes,No
1211474795039210899,Southend-on-sea,0,N/A,0,277,N/A,N/A,None,1,Small,3,1,3,277,Yes,N/A,1,1,0,No,Yes,No,Yes,No,No,No
1126169281585364324,Southend-on-sea,0,N/A,0,154,N/A,N/A,Low,15,Moderate,3,1.5,6,142,No,N/A,131,4.75,0,No,No,No,Yes,No,No,No
53186628,Southend-on-sea,0,N/A,0,145,N/A,N/A,None,2,Individual,3,1.5,5,143,Yes,N/A,221,4.83,12,No,No,No,Yes,No,Yes,No
1124835561955712974,Southend-on-sea,0,N/A,0,301,N/A,N/A,Low,3,Small,3,1,5,183,Yes,N/A,65,4.83,0,No,No,No,Yes,No,No,No
739167595591261109,Southend-on-sea,0,N/A,0,251,N/A,N/A,None,14,Moderate,3,1,6,209,Yes,N/A,115,5,0,No,No,No,Yes,No,No,No
49822782,Southend-on-sea,0,N/A,0,188,N/A,N/A,None,1,Small,3,4.5,3,289,Yes,N/A,178,N/A,0,No,No,No,Yes,No,Yes,Yes
817885980392928858,Southend-on-sea,0,N/A,0,113,N/A,N/A,None,1,Small,3,1.5,7,160,No,N/A,6,2,1,No,No,No,Yes,No,No,No
842566978525121299,Southend-on-sea,0,N/A,0,112,N/A,N/A,None,1,Large,3,1,6,284,No,N/A,152,5,1,No,No,No,Yes,No,No,No
1129331175469284658,Southend-on-sea,108,107.8,2,56,3,1,None,1,Individual,3,1.5,6,125,No,Midscale,0,5,0,No,No,No,Yes,No,No,No
1054985339719090402,Southend-on-sea,267,133.46,1,190,12,1,None,1,Individual,3,1,6,160,Yes,Midscale,176,5,1,No,No,No,Yes,No,No,No
967821499977314051,Southend-on-sea,428,213.88,1,184,164,2,None,2,Individual,3,1,8,250,Yes,Upscale,182,0,0,No,No,No,Yes,No,No,No
1170024864515222878,Southend-on-sea,513,73.25,11,65,2,2,None,1,Small,3,1,6,86,No,Midscale,14,4.33,3,No,No,No,Yes,No,No,No
1131929193840112093,Southend-on-sea,661,132.3,3,187,114,3,None,1,Large,3,1,6,156,Yes,Midscale,151,2,1,No,No,No,Yes,No,No,No
48867294,Southend-on-sea,835,24.57,18,190,2,4,None,3,Small,3,1.5,5,28,Yes,Economy,176,4.89,27,No,No,No,Yes,No,No,No
1269512911040173723,Southend-on-sea,875,87.49,38,26,5,3,Moderate,2,Individual,3,1,5,103,No,Midscale,6,3,1,No,No,No,Yes,No,No,No
1312959525349119948,Southend-on-sea,1088,108.77,15,66,6,3,None,1,Large,3,1,6,113,No,Midscale,40,2,1,No,No,No,Yes,No,No,No
1221546177075739562,Southend-on-sea,1121,186.83,5,114,27,3,None,1,Large,3,2,8,179,No,Upscale,77,4,1,No,No,No,Yes,No,No,No
645752158085940837,Southend-on-sea,1140,114,3,360,8,6,None,4,Small,3,3,6,146,Yes,Midscale,6,4.43,7,No,No,No,No,No,No,No
42675773,Southend-on-sea,1374,105.73,4,304,5,5,None,1,Small,3,1.5,5,28,Yes,Midscale,62,4.83,30,No,No,No,Yes,No,No,No
50539147,Southend-on-sea,1821,121.43,19,77,29,5,None,3,Large,3,1.5,8,109,No,Midscale,5,4,19,No,Yes,No,Yes,No,No,No
1012376351344180753,Southend-on-sea,1848,132,13,111,35,6,None,7,Moderate,3,1,5,191,No,Midscale,170,5,1,No,No,No,Yes,No,Yes,No
1279017455677114403,Southend-on-sea,1865,84.75,16,137,9,17,None,1,Small,3,1.5,5,117,No,Midscale,18,3,1,No,No,No,Yes,No,No,No
49048612,Southend-on-sea,1928,120.52,12,129,5,4,None,3,Large,3,1.5,6,142,No,Midscale,33,4.36,21,No,No,No,Yes,No,No,No
989262044739054179,Southend-on-sea,1943,194.25,8,119,2,3,High,2,Large,3,1,5,301,No,Upscale,0,N/A,0,No,No,No,Yes,No,Yes,No
