town,year_revenue,avg_daily_rate,occupancy,active_days,length_of_stay,min_stay,management,bedrooms,bathrooms,max_guests,listed_price,is_active,economic_category,blocked_days,rating,num_reviews,beachfront,hot_tub,ev_charger,kitchen,pool,pets_allowed,smoking_allowed,revenue_group,occupancy_group
Grays,567,113.31,4,136,5.0,4,Moderate,2,1.0,5,130,Yes,Upscale,3,4.86,0,No,No,No,Yes,No,Yes,No,Low,Low
Grays,597,119.41,10,49,5.0,1,Large,2,2.0,4,152,No,Upscale,96,4.42,0,No,No,No,Yes,No,No,No,Low,Low
Grays,627,156.73,13,30,4.0,2,Moderate,2,2.0,5,175,No,Upscale,43,5.0,4,No,No,No,Yes,No,No,No,Low,Low
Grays,689,86.08,15,54,6.0,2,Large,2,1.0,5,128,Yes,Midscale,58,4.86,0,No,No,No,Yes,No,No,No,Low,Low
Grays,725,103.58,20,35,4.0,3,Small,2,1.0,4,121,No,Midscale,48,4.86,0,No,No,No,Yes,No,No,No,Low,Low
Grays,767,95.82,5,154,8.0,1,Large,2,1.0,5,144,No,Midscale,118,5.0,4,No,No,No,Yes,No,No,No,Low,Low
Grays,831,103.88,8,104,3.0,1,Individual,2,2.0,3,116,Yes,Midscale,8,5.0,2,No,No,No,Yes,No,No,No,Low,Low
Grays,894,111.79,13,64,5.0,2,Individual,2,1.0,4,137,No,Upscale,1,5.0,1,No,No,No,Yes,No,No,No,Low,Low
Grays,1211,110.05,15,73,4.0,3,Individual,2,1.0,4,116,Yes,Upscale,64,5.0,2,No,No,No,Yes,No,No,No,Low,Low
Grays,1254,125.38,20,50,10.0,1,Large,2,1.0,4,144,No,Upscale,93,5.0,1,No,No,No,Yes,No,No,No,Low,Low
Grays,1341,70.6,15,131,19.0,1,Individual,2,1.0,4,86,No,Midscale,0,4.86,0,No,No,No,Yes,No,No,No,Low,Low
Grays,1736,144.69,12,104,12.0,1,Unknown,2,1.0,5,167,No,Upscale,127,4.42,0,No,No,No,Yes,No,No,No,Low,Low
Grays,1805,75.21,44,55,7.0,4,Small,2,1.0,3,122,Yes,Midscale,93,4.86,0,No,No,No,Yes,No,No,No,Low,Low
Grays,1957,85.09,7,343,7.0,3,Moderate,2,1.0,4,128,Yes,Midscale,19,4.0,1,No,No,No,Yes,No,No,No,Low,Low
Grays,2013,47.21,99,72,14.0,7,Individual,2,1.0,4,58,No,Economy,12,4.86,0,No,No,No,Yes,No,No,No,Low,High
Grays,2025,84.36,42,57,5.0,1,Individual,2,1.0,5,100,Yes,Midscale,39,4.86,0,No,No,No,Yes,No,No,No,Low,Low
Grays,2613,108.88,69,35,5.0,2,Small,2,1.0,4,133,No,Upscale,14,4.86,0,No,No,No,Yes,No,No,No,Low,High
Grays,2620,58.23,68,66,17.0,2,Unknown,2,1.0,4,80,No,Economy,58,4.86,0,No,No,No,Yes,No,Yes,No,Low,High
Grays,3222,82.62,14,280,32.0,3,Small,2,1.0,6,117,No,Midscale,4,4.86,0,No,No,No,Yes,No,No,No,Low,Low
Grays,3473,86.81,35,113,4.0,1,Individual,2,1.0,4,114,Yes,Midscale,14,4.86,0,No,No,No,Yes,No,No,No,Low,Low
Grays,3479,96.63,10,363,16.0,7,Moderate,2,1.0,5,133,Yes,Midscale,3,4.33,3,No,No,No,Yes,No,No,No,Low,Low
Grays,3874,96.85,11,353,5.0,2,Small,2,2.0,4,188,Yes,Midscale,13,5.0,3,No,No,No,Yes,No,No,No,Low,Low
Grays,4089,60.13,68,100,21.0,1,Moderate,2,1.0,5,74,Yes,Economy,6,5.0,1,No,No,No,Yes,No,No,No,Low,High
Grays,4172,64.18,66,98,17.0,2,Individual,2,2.0,2,89,No,Economy,0,4.86,2,No,No,Yes,Yes,No,No,No,Low,High
Grays,4518,94.12,24,203,7.0,3,Small,2,1.0,5,107,Yes,Midscale,14,4.86,7,No,No,No,Yes,No,No,No,Low,Low
Grays,4787,92.05,66,79,5.0,3,Small,2,1.0,6,124,No,Midscale,6,4.25,4,No,No,No,Yes,No,No,No,Low,High
Grays,5309,88.49,41,147,8.0,2,Individual,2,1.0,4,106,Yes,Midscale,5,5.0,5,No,No,No,Yes,No,No,No,Low,Low
Grays,5362,105.15,100,51,27.0,3,Small,2,2.0,4,131,No,Upscale,76,4.91,11,No,No,No,No,No,No,No,Low,High
Grays,6642,120.76,62,89,4.0,1,Individual,2,1.0,5,131,Yes,Upscale,7,5.0,8,No,No,No,Yes,No,No,No,Low,Low
Grays,7090,82.44,83,104,3.0,1,Individual,2,1.0,4,98,No,Midscale,39,4.69,13,No,No,No,Yes,No,Yes,No,Low,High
Grays,7560,93.33,27,304,33.0,4,Moderate,2,2.0,5,133,Yes,Midscale,62,5.0,1,No,No,No,Yes,No,No,No,Low,Low
Grays,7728,104.44,58,128,18.0,3,Small,2,2.0,5,133,Yes,Midscale,9,4.67,3,No,No,No,Yes,No,No,No,Low,Low
Grays,7949,82.8,65,147,40.0,2,Moderate,2,1.0,4,113,No,Midscale,79,4.0,1,No,No,No,Yes,No,No,No,Low,High
Grays,8818,76.68,68,170,12.0,2,Individual,2,2.0,5,104,Yes,Midscale,7,5.0,2,No,No,No,Yes,No,No,No,Low,High
Grays,8840,90.2,88,112,35.0,2,Individual,2,1.5,4,125,Yes,Midscale,132,5.0,4,No,No,No,Yes,No,No,No,Low,High
Grays,9461,103.97,37,247,16.0,2,Moderate,2,1.0,4,125,Yes,Midscale,119,3.8,5,No,No,No,Yes,No,No,No,Low,Low
Grays,10069,64.13,92,171,33.0,2,Individual,2,1.0,4,93,Yes,Economy,195,4.9,21,No,No,No,Yes,No,No,No,Low,High
Grays,10643,73.4,51,283,6.0,2,Moderate,2,1.0,4,94,No,Midscale,51,2.67,3,No,No,No,Yes,No,No,No,Low,Low
Grays,10927,86.04,39,327,9.0,3,Individual,2,1.0,4,113,Yes,Midscale,39,4.63,8,No,No,No,Yes,No,No,No,Low,Low
Grays,11250,102.27,38,289,16.0,3,Moderate,2,1.0,5,128,Yes,Midscale,77,4.0,3,No,No,No,Yes,No,No,No,Low,Low
Grays,11288,93.29,90,135,8.0,2,Small,2,1.5,5,110,No,Midscale,5,4.48,29,No,No,No,Yes,No,No,No,Low,High
Grays,11843,99.52,84,142,34.0,2,Individual,2,2.0,3,114,Yes,Midscale,110,4.55,11,No,No,No,Yes,No,No,No,Low,High
Grays,11851,82.87,72,200,6.0,1,Individual,2,1.0,3,110,No,Midscale,103,4.62,13,No,No,No,Yes,No,No,Yes,Low,High
Grays,11900,88.81,58,233,25.0,7,Small,2,2.0,2,85,Yes,Midscale,111,4.8,5,No,No,No,Yes,No,No,No,Low,Low
Grays,11974,122.19,61,160,7.0,2,Individual,2,1.5,4,154,No,Upscale,46,4.94,17,No,No,No,Yes,No,No,No,Low,Low
Grays,11990,92.94,53,242,4.0,2,Small,2,1.0,6,126,No,Midscale,60,4.86,0,No,No,No,Yes,No,No,No,Low,Low
Grays,12229,78.39,66,238,18.0,2,Small,2,1.0,5,116,Yes,Midscale,49,5.0,1,No,No,No,Yes,No,No,No,Low,High
Grays,12509,71.07,49,362,11.0,5,Small,2,1.0,6,93,Yes,Midscale,4,4.46,13,No,No,No,Yes,No,No,No,High,Low
Grays,12905,72.5,53,335,5.0,2,Small,2,1.0,4,85,Yes,Midscale,31,4.44,16,No,No,No,Yes,No,No,No,High,Low
Grays,12977,107.25,70,173,24.0,3,Small,2,1.0,4,128,No,Upscale,25,4.91,11,No,No,No,Yes,No,No,No,High,High
Grays,13882,109.31,59,215,9.0,2,Moderate,2,2.0,6,147,Yes,Upscale,12,5.0,2,No,No,No,Yes,No,No,No,High,Low
Grays,14005,84.37,47,350,12.0,2,Small,2,1.0,5,114,Yes,Midscale,16,4.33,6,No,No,No,Yes,No,No,No,High,Low
Grays,14262,93.83,47,323,14.0,3,Individual,2,2.0,4,129,Yes,Midscale,28,4.95,20,No,No,No,Yes,No,No,No,High,Low
Grays,14546,84.57,64,270,10.0,2,Individual,2,1.0,3,103,Yes,Midscale,96,5.0,18,No,No,No,Yes,No,No,No,High,High
Grays,15006,66.99,92,243,21.0,5,Individual,2,2.0,4,86,Yes,Midscale,123,4.87,23,No,No,No,Yes,No,No,No,High,High
Grays,15149,88.07,89,194,22.0,2,Individual,2,2.0,2,116,Yes,Midscale,172,4.93,15,No,No,No,Yes,No,No,No,High,High
Grays,16021,86.13,71,261,7.0,2,Large,2,2.0,4,128,Yes,Midscale,101,4.33,3,No,No,No,Yes,No,No,No,High,High
Grays,16264,92.94,65,268,7.0,2,Moderate,2,2.0,4,115,Yes,Midscale,23,4.53,40,No,No,No,Yes,No,No,No,High,High
Grays,16436,97.83,51,330,28.0,3,Moderate,2,1.0,4,128,Yes,Midscale,36,4.9,10,No,No,No,Yes,No,No,No,High,Low
Grays,16765,71.64,71,329,14.0,2,Moderate,2,1.0,5,97,Yes,Midscale,37,5.0,5,No,No,No,Yes,No,No,No,High,High
Grays,16962,93.71,53,339,8.0,2,Individual,2,1.0,4,116,Yes,Midscale,27,4.91,32,No,No,No,Yes,No,No,No,High,Low
Grays,17169,104.06,80,206,17.0,1,Unknown,2,2.0,4,147,Yes,Midscale,69,5.0,3,No,No,No,Yes,No,No,No,High,High
Grays,17178,89.47,56,343,8.0,2,Individual,2,1.0,4,95,Yes,Midscale,23,4.94,155,No,No,No,Yes,No,No,No,High,Low
Grays,17972,106.34,51,330,6.0,2,Individual,2,2.0,4,124,Yes,Upscale,36,5.0,23,No,No,No,Yes,No,No,No,High,Low
Grays,19720,99.6,62,319,4.0,3,Small,2,1.0,4,104,Yes,Midscale,47,4.83,103,No,No,No,Yes,No,No,No,High,Low
Grays,20634,84.91,90,270,28.0,3,Small,2,1.0,5,120,No,Midscale,0,3.0,1,No,No,No,Yes,No,No,No,High,High
Grays,21026,87.61,73,328,11.0,2,Small,2,1.0,8,128,Yes,Midscale,38,5.0,0,No,No,No,Yes,No,No,No,High,High
Grays,21174,120.99,49,357,5.0,2,Individual,2,2.0,4,145,Yes,Upscale,9,5.0,29,No,No,No,Yes,No,No,No,High,Low
Grays,23366,89.87,78,333,8.0,3,Individual,2,1.0,4,98,Yes,Midscale,33,4.92,25,No,No,No,Yes,No,No,No,High,High
Grays,26906,94.41,81,352,6.0,2,Moderate,2,2.5,4,118,Yes,Midscale,14,5.0,18,No,No,No,Yes,No,No,No,High,High
Grays,27478,90.39,95,319,9.0,3,Individual,2,1.0,5,104,Yes,Midscale,6,4.89,18,No,No,No,Yes,No,No,No,High,High
Grays,30009,113.67,79,336,6.0,4,Small,2,2.0,5,131,Yes,Upscale,30,4.86,65,No,No,No,Yes,No,No,No,High,High
Southend-on-Sea,700,116.64,2,359,1.0,1,Individual,2,1.0,4,143,Yes,Upscale,7,4.86,0,No,No,No,Yes,No,No,No,Low,Low
Southend-on-Sea,793,113.31,3,229,7.0,7,Moderate,2,1.0,5,146,Yes,Upscale,137,4.83,0,No,No,No,Yes,No,Yes,No,Low,Low
Southend-on-Sea,811,135.19,5,111,18.0,3,Small,2,1.0,4,150,No,Upscale,9,4.86,0,No,No,No,Yes,No,No,No,Low,Low
Southend-on-Sea,1343,61.04,31,70,7.0,2,Individual,2,1.0,5,88,No,Economy,25,5.0,1,No,No,No,Yes,No,Yes,No,Low,Low
Southend-on-Sea,1471,98.1,5,294,2.0,1,Small,2,1.0,5,121,Yes,Midscale,72,4.86,0,No,Yes,No,Yes,No,No,No,Low,Low
Southend-on-Sea,1597,76.07,49,43,10.0,1,Individual,2,2.0,5,101,No,Midscale,10,4.86,0,No,No,No,Yes,No,Yes,No,Low,Low
Southend-on-Sea,2115,78.34,23,119,4.0,1,Individual,2,1.0,6,86,No,Midscale,2,4.68,25,No,No,No,Yes,No,No,No,Low,Low
Southend-on-Sea,2119,70.63,21,144,7.0,1,Small,2,1.0,4,87,Yes,Midscale,7,3.67,3,No,No,No,Yes,No,No,No,Low,Low
Southend-on-Sea,2204,73.46,30,101,8.0,5,Moderate,2,2.0,4,87,Yes,Midscale,2,5.0,10,No,No,No,Yes,No,No,No,Low,Low
Southend-on-Sea,2273,75.76,37,81,4.0,3,Small,2,1.0,4,96,No,Midscale,136,3.0,2,No,No,No,No,No,No,No,Low,Low
Southend-on-Sea,2284,120.19,8,252,11.0,3,Small,2,1.5,4,155,Yes,Upscale,114,4.0,0,No,No,No,Yes,No,No,No,Low,Low
Southend-on-Sea,2655,85.64,55,56,4.0,2,Individual,2,1.0,4,92,Yes,Midscale,98,4.75,4,No,No,No,Yes,No,No,No,Low,Low
Southend-on-Sea,2721,93.83,42,69,4.0,1,Unknown,2,1.0,6,136,Yes,Midscale,206,5.0,5,No,No,No,Yes,No,Yes,No,Low,Low
Southend-on-Sea,2837,91.52,12,258,31.0,7,Moderate,2,1.0,5,182,Yes,Midscale,108,4.83,0,No,No,No,Yes,No,Yes,No,Low,Low
Southend-on-Sea,3080,102.65,21,142,7.0,3,Large,2,1.0,6,121,Yes,Midscale,43,2.5,2,No,No,No,Yes,No,No,No,Low,Low
Southend-on-Sea,3231,272.97,12,69,4.0,3,Large,2,1.0,6,331,No,Upscale,53,4.5,18,No,No,No,Yes,No,No,No,Low,Low
Southend-on-Sea,3387,91.53,46,80,10.0,1,Small,2,1.0,4,133,Yes,Midscale,6,4.86,0,No,No,No,Yes,No,No,No,Low,Low
Southend-on-Sea,3865,96.63,24,167,8.0,2,Small,2,1.0,2,106,Yes,Midscale,199,4.71,7,No,No,No,Yes,No,No,No,Low,Low
Southend-on-Sea,3869,113.8,58,59,7.0,2,Small,2,1.0,5,141,No,Upscale,69,4.86,3,No,No,No,Yes,No,Yes,No,Low,Low
Southend-on-Sea,3893,84.62,72,64,4.0,1,Individual,2,1.0,5,89,Yes,Midscale,26,4.5,4,No,No,No,Yes,No,No,No,Low,High
Southend-on-Sea,4182,154.9,14,193,2.0,2,Individual,2,1.0,4,173,No,Upscale,5,4.9,29,No,No,No,Yes,No,Yes,No,Low,Low
Southend-on-Sea,4383,91.32,37,129,4.0,1,Small,2,2.0,4,86,Yes,Midscale,50,4.86,7,No,No,No,Yes,No,No,No,Low,Low
Southend-on-Sea,4651,47.21,55,237,5.0,1,Individual,2,1.0,4,58,Yes,Economy,129,4.86,0,No,No,No,Yes,No,No,No,Low,Low
Southend-on-Sea,5188,99.77,43,121,3.0,1,Small,2,2.0,4,85,Yes,Midscale,58,4.82,17,No,No,No,Yes,No,No,No,Low,Low
